image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
apron,0.9523809523809524,1.0,1.0,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.1257999310664081,0.0862491655707374,0.0891082889641253,0.8030717273241024,0.5032583347756457,0.6402064333604701,0.04761904761904756,0.0,-0.036691642102282804,-0.16286529396363225,0.036691642102282804,0.16286529396363225,0.0395507654956707,0.2998133925484566
aquarium,0.3333333333333333,0.9444444444444444,0.9444444444444444,0.0555555555555555,0.2777777777777778,0.2777777777777778,0.3901751878155451,0.0983335634223186,0.1651989475452577,2.5503407095463886,1.650022421648354,1.870253816431622,0.6111111111111112,0.2222222222222223,-0.2249762402702874,-0.6800868931147666,0.2249762402702874,0.6800868931147666,0.29184162439322653,0.9003182878980345
arch,0.5789473684210527,0.7368421052631579,0.8421052631578947,0.1578947368421052,0.5263157894736842,0.5263157894736842,0.5020162743065731,0.149539266123682,0.1507511850437817,2.419381945646371,0.9912642605354288,0.9912642605354288,0.26315789473684204,0.368421052631579,-0.35126508926279143,-1.428117685110942,0.35126508926279143,1.428117685110942,0.3524770081828911,1.428117685110942
arm,0.7333333333333333,1.0,1.0,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.1126863016291131,0.0,0.0,0.8166890883150209,-0.0,-0.0,0.2666666666666667,0.20000000000000007,-0.1126863016291131,-0.8166890883150209,0.1126863016291131,0.8166890883150209,0.1126863016291131,0.8166890883150209
armor,0.9444444444444444,0.9444444444444444,1.0,0.5555555555555556,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.9182958340544896,0.8366407419411672,0.8366407419411672,0.05555555555555558,0.05555555555555558,0.0,-0.08165509211332234,0.0,0.08165509211332234,0.0,0.08165509211332234
arrow,0.4736842105263157,1.0,0.9473684210526316,0.3684210526315789,0.8421052631578947,0.7368421052631579,0.3763905986829798,0.0263374362562902,0.0917757821424779,2.855953642864355,0.5032583347756457,1.0975378398419535,0.47368421052631593,0.3684210526315789,-0.2846148165405019,-1.7584158030224015,0.2846148165405019,1.7584158030224015,0.3500531624266896,2.3526953080887094
artichoke,0.2692307692307692,0.8846153846153846,0.9615384615384616,0.0384615384615384,0.3461538461538461,0.3461538461538461,0.4234712795296225,0.2245724556202649,0.2213873070791647,3.5110854081804264,2.6168787315814135,2.535857775918279,0.6923076923076923,0.3076923076923077,-0.20208397245045778,-0.9752276322621474,0.20208397245045778,0.9752276322621474,0.1988988239093576,0.8942066765990129
arugula,0.4166666666666667,0.9583333333333334,0.9583333333333334,0.0,0.0,0.0,0.5639424297795578,0.3310007954052607,0.365551652203939,3.1898980954642875,2.1492799881316267,2.0837651410695512,0.5416666666666667,0.0,-0.1983907775756188,-1.1061329543947362,0.1983907775756188,1.1061329543947362,0.2329416343742971,1.0406181073326608
ashtray,0.8125,0.9375,0.9375,0.5,0.625,0.625,0.2346162624097891,0.0863725321392739,0.1479738099900792,2.306890595608519,1.2916919971380596,1.6922718656836109,0.125,0.125,-0.08664245241970991,-0.6146187299249082,0.08664245241970991,0.6146187299249082,0.1482437302705152,1.0151985984704595
asparagus,0.3684210526315789,1.0,0.9473684210526316,0.5263157894736842,0.8421052631578947,0.8421052631578947,0.128213703780653,0.025031775051392,0.025031775051392,1.6922718656836109,0.6143694458867568,0.6143694458867568,0.5789473684210527,0.3157894736842105,-0.10318192872926099,-1.077902419796854,0.10318192872926099,1.077902419796854,0.10318192872926099,1.077902419796854
